fecha,dias
1951,05
1952,07
1953,10
1954,13
1955,05
1956,07
1957,03
1958,06
1959,06
1960,05
1961,07
1962,03
1963,12
1964,15
1965,22
1966,07
1967,07
1968,07
1969,16
1970,15
1971,06
1972,15
1973,15
1974,10
1975,11
1976,09
1977,13
1978,18
1979,03
1980,07
1981,06
1982,01
1983,09
1984,08
1985,06
1986,04
1987,05
1988,02
1989,03
1990,03
1991,05
1992,08
1993,07
1994,01
1995,03
1996,04
1997,03
1998,09
1999,02
2000,01
2001,04
2002,02
2003,02
2004,03
2005,04
2006,02
2007,03
2008,02
2009,01
2010,01
2011,01
2012,01
2013,04
2014,00
2015,01
2016,00
2017,00
