fecha,dias
1951,04
1952,08
1953,11
1954,14
1955,05
1956,18
1957,10
1958,02
1959,01
1960,03
1961,05
1962,09
1963,14
1964,12
1965,17
1966,07
1967,08
1968,05
1969,12
1970,14
1971,09
1972,09
1973,07
1974,08
1975,08
1976,03
1977,08
1978,16
1979,01
1980,13
1981,08
1982,01
1983,04
1984,04
1985,10
1986,04
1987,02
1988,04
1989,00
1990,06
1991,06
1992,05
1993,01
1994,00
1995,03
1996,04
1997,03
1998,06
1999,01
2000,02
2001,07
2002,01
2003,03
2004,03
2005,06
2006,00
2007,05
2008,02
2009,01
2010,01
2011,01
2012,00
2013,02
2014,00
2015,00
2016,00
2017,00
