fecha,max,min
22-07-1994,35.4,20
23-07-1994,33.6,20
24-07-1994,36,20
25-07-1994,33.6,20.9
26-07-1994,35.2,20.4
27-07-1994,37.6,21.2
28-07-1994,34.3,21.6
29-07-1994,34.6,22.8
02-08-1994,35.3,21.6
03-08-1994,36.8,22.3
04-08-1994,36.5,21.5
05-08-1994,37.3,22.1
06-08-1994,37.6,23
07-08-1994,37.9,23
08-08-1994,36.8,21.4
09-08-1994,36.3,22.2
10-08-1994,30.4,20.6
22-08-1994,36.5,20.6
23-08-1994,32.5,21.4
28-08-1994,32.6,20.4
30-08-1994,29.2,20.7
21-06-1995,31.1,20.2
30-06-1995,35.2,20.5
08-07-1995,33.5,20.4
13-07-1995,35.5,21.7
16-07-1995,34,20.5
17-07-1995,35,21
19-07-1995,39.8,21.7
20-07-1995,40.6,23
21-07-1995,39.2,22.5
25-07-1995,36.5,20.4
29-07-1995,38.5,22.8
30-07-1995,32.8,20.6
31-07-1995,35.4,20.8
01-08-1995,34,22.6
02-08-1995,36.5,20.5
03-08-1995,36.6,20.6
04-08-1995,35.7,20.8
05-08-1995,34.7,20.9
06-08-1995,31.3,20
12-08-1995,34.8,20.2
13-08-1995,30.1,20.2
17-08-1995,36.7,20
18-08-1995,31.9,20.3
05-07-1996,30.4,21.2
18-07-1996,36.9,20.1
19-07-1996,36,21
22-07-1996,36.2,20.2
23-07-1996,36,20.8
24-07-1996,39.1,22.3
25-07-1996,34.6,20.1
04-08-1996,33.3,20.4
05-08-1996,31.4,20.3
06-08-1996,33.6,21.5
29-07-1997,34.4,20.6
30-07-1997,33.1,21.1
04-08-1997,32.5,20.9
16-08-1997,33.5,20.8
17-08-1997,31.5,20.7
20-08-1997,34.5,20.7
23-08-1997,33.4,20
24-08-1997,32.8,20.8
20-07-1998,37.3,21
21-07-1998,30.6,20
23-07-1998,38,21
12-08-1998,35.6,20.8
13-08-1998,30.2,20.6
15-08-1998,35.4,20
16-08-1998,33.5,20.4
17-08-1998,34.3,20.5
01-09-1998,35.4,20.6
02-09-1998,34.4,21.2
02-07-1999,39.4,21.5
03-07-1999,38.5,21.2
17-07-1999,35,22.4
20-07-1999,35.2,20.6
21-07-1999,34.3,20.7
26-07-1999,35.3,21
02-08-1999,32.8,21.7
04-08-1999,31,20.7
05-08-1999,33.4,20.7
06-08-1999,35.7,21.7
07-08-1999,32.5,20.5
16-08-1999,32.5,20
22-08-1999,35.5,20.1
23-08-1999,35.2,20.5
24-08-1999,35.6,21.6
25-08-1999,33.6,24.2
26-08-1999,34.8,22.2
28-08-1999,32.4,20.4
02-09-1999,35.6,20.6
03-09-1999,33.7,21.5
28-06-2000,33,20.3
20-07-2000,34.5,20.9
21-07-2000,35.7,20
22-07-2000,36.4,20.3
31-07-2000,37.5,21.4
01-08-2000,35.2,21.2
14-08-2000,36,21
15-08-2000,35.4,20.4
16-08-2000,36.6,21
17-08-2000,34.3,21
18-08-2000,35.3,21.4
24-08-2000,34.2,20.1
25-08-2000,37.8,21.5
16-09-2000,31.7,20
22-06-2001,39,21.6
25-06-2001,40.4,20.9
02-07-2001,37.2,21.2
03-07-2001,37,20.5
26-07-2001,36.6,21.3
27-07-2001,34,20
31-07-2001,38.2,20.7
01-08-2001,37.5,21.5
02-08-2001,36.5,22.6
08-08-2001,28.9,21.4
12-08-2001,34.7,20.4
13-08-2001,35.6,21.2
22-08-2001,36.6,20.6
23-08-2001,37.3,20.5
24-08-2001,37.9,21.7
25-08-2001,36,20.6
26-08-2001,33.4,21.1
29-08-2001,30.1,20.6
22-06-2002,38.4,21
20-07-2002,37.6,21.3
21-07-2002,36.8,20.6
22-07-2002,35.5,20.2
28-07-2002,36,21.5
15-08-2002,35.6,21
18-08-2002,34.6,21.1
20-08-2002,34,20.8
10-06-2003,35.8,20
11-06-2003,35.8,20
12-06-2003,36.9,20.9
14-06-2003,37.5,21
15-06-2003,36.8,23.4
16-06-2003,35.7,21.6
20-06-2003,37,21.2
23-06-2003,38.2,20.6
24-06-2003,38.1,23
25-06-2003,36.3,22.1
26-06-2003,34.2,20.8
29-06-2003,36,21.7
30-06-2003,31.5,21.8
01-07-2003,28.7,20.4
09-07-2003,35,22.5
10-07-2003,35.8,20.8
11-07-2003,38.2,22.6
12-07-2003,38,22
13-07-2003,38.5,21
14-07-2003,37.1,21
15-07-2003,35.5,21.2
18-07-2003,37.3,21.1
20-07-2003,35.1,20.7
21-07-2003,35.6,20.9
26-07-2003,37.7,22.3
30-07-2003,35.6,20.5
31-07-2003,36,20.3
02-08-2003,37.2,20.4
03-08-2003,39.2,21.4
04-08-2003,38.6,21.5
05-08-2003,38.8,21.2
06-08-2003,38.2,21.4
07-08-2003,38.7,21.1
08-08-2003,37.8,20.7
09-08-2003,38,21.5
10-08-2003,38.6,22.3
11-08-2003,39.2,21
12-08-2003,39.3,21.4
13-08-2003,39.6,21
14-08-2003,38.6,20.6
15-08-2003,32.7,22
16-08-2003,30.9,20.2
20-08-2003,33.6,21.5
25-08-2003,35,21.3
26-08-2003,33.4,21.6
27-08-2003,36.3,20
28-08-2003,32.5,20
26-06-2004,37.5,20.4
27-06-2004,39.8,22.5
28-06-2004,35.4,20.6
30-06-2004,38,20.7
21-07-2004,34.6,21.4
22-07-2004,37.8,21.8
23-07-2004,37.4,22
24-07-2004,37,23.2
25-07-2004,32.5,21
31-07-2004,36.8,20.8
01-08-2004,37.7,21.8
02-08-2004,33.2,21.2
07-08-2004,32.2,21.2
09-08-2004,34.2,20.8
10-08-2004,31.6,20.5
12-08-2004,32.1,22
15-08-2004,38,21.6
16-08-2004,37.8,21.4
17-08-2004,32.4,20
19-08-2004,31,20
23-08-2004,33.6,21.1
01-09-2004,33.5,21.2
02-09-2004,31.5,21.3
05-09-2004,35.7,23.4
06-09-2004,32.8,21.1
08-09-2004,30.5,21.2
09-09-2004,32,21
13-09-2004,32,20
18-06-2005,36,20.2
20-06-2005,37,22
23-06-2005,38.3,20.9
25-06-2005,36.8,20
26-06-2005,37,21.4
27-06-2005,35.8,21
03-07-2005,38.5,21.5
14-07-2005,38,21
15-07-2005,39.5,21.9
16-07-2005,42.3,21
22-07-2005,32.9,20.8
25-07-2005,35.4,21.4
26-07-2005,36,21.1
27-07-2005,36.8,22.5
28-07-2005,34,22.4
08-08-2005,32.2,21.5
09-08-2005,34.5,21.8
10-08-2005,31,20.9
11-08-2005,31.7,20.4
17-08-2005,33.3,20.3
03-09-2005,36,20.2
28-05-2006,35.6,20.2
01-07-2006,37.8,21.4
02-07-2006,38.1,23.5
03-07-2006,34.5,20.1
04-07-2006,35.8,20.2
09-07-2006,38.1,21.7
10-07-2006,39.7,21.5
11-07-2006,34.4,21.5
12-07-2006,35,20.6
13-07-2006,36.5,21
14-07-2006,36.3,21.5
15-07-2006,36.9,23.8
16-07-2006,36.1,21.6
17-07-2006,36.5,21.5
18-07-2006,37.4,22.4
21-07-2006,37.5,21.7
22-07-2006,34.8,22.8
23-07-2006,35.6,21.4
24-07-2006,38,22.5
25-07-2006,38.6,23.7
26-07-2006,39.2,22
30-07-2006,38.6,20.2
31-07-2006,35.5,21.7
01-08-2006,32,21.4
03-08-2006,29.7,20.3
02-09-2006,32.4,20
04-09-2006,36,20.5
05-09-2006,36.7,21.5
06-09-2006,35.5,21
07-09-2006,34.4,20.8
10-09-2006,33.4,20
09-06-2007,34,20
14-07-2007,35.4,20
28-07-2007,34,20.4
01-08-2007,38,20.9
15-08-2007,39,20.4
28-08-2007,38.5,20.4
20-06-2008,35.2,20.2
21-06-2008,36.1,20.6
05-07-2008,35.5,20
09-07-2008,35,20.4
10-07-2008,36.6,20.8
24-07-2008,37.2,20.9
26-07-2008,32.9,21.3
27-07-2008,35.5,20.6
28-07-2008,37.3,20.4
30-07-2008,36.5,21.5
01-08-2008,31.8,20.1
04-08-2008,38,23.5
05-08-2008,37.5,21
11-08-2008,33.2,21
27-08-2008,32.8,21.8
05-09-2008,31,20.6
11-06-2009,33.1,21.1
13-06-2009,38.6,20.2
14-06-2009,36.4,24.7
17-06-2009,36.2,20
18-06-2009,36.7,21
29-06-2009,37.5,20.5
30-06-2009,38.8,22.5
01-07-2009,38.8,21.5
02-07-2009,35,22
03-07-2009,37.4,20.5
04-07-2009,35,21.5
05-07-2009,33.8,20.1
12-07-2009,38.5,21
13-07-2009,39.4,20.7
14-07-2009,33.5,20
16-07-2009,38,20.6
20-07-2009,36,20
22-07-2009,43.1,20.1
23-07-2009,36,23.3
29-07-2009,39,20
05-08-2009,38,22.2
06-08-2009,36,20.2
07-08-2009,29.5,20
12-08-2009,34.4,20.2
13-08-2009,35,20.6
14-08-2009,36.8,20.8
15-08-2009,37.8,20
16-08-2009,38,20.4
17-08-2009,39,20.8
18-08-2009,38.5,21.5
21-08-2009,33.5,20.5
23-08-2009,37.2,20
24-08-2009,37.6,20.5
25-08-2009,29.3,20.2
27-08-2009,35.8,21.2
28-08-2009,31,20
01-09-2009,35.5,20.6
02-09-2009,32.4,20
03-09-2009,31.3,20.5
07-09-2009,31.4,20.5
26-06-2010,35.5,21.2
27-06-2010,34.2,20.4
29-06-2010,33.5,20.8
01-07-2010,38.3,20.3
02-07-2010,33.6,22.7
03-07-2010,34.5,20.2
04-07-2010,34.5,21.4
08-07-2010,40,23
09-07-2010,39.7,23.7
10-07-2010,37,21.5
11-07-2010,39,23.8
12-07-2010,37.6,21.5
13-07-2010,37.1,20.8
14-07-2010,38,21.1
16-07-2010,36.3,21.4
19-07-2010,37.8,21
20-07-2010,36,21.5
21-07-2010,31.9,20
28-07-2010,35.6,20
29-07-2010,30.1,20.2
01-08-2010,35.3,22
02-08-2010,28.8,20.5
08-08-2010,32.5,20.4
09-08-2010,33,21.8
11-08-2010,33.8,20.8
18-08-2010,34.6,20.2
21-08-2010,37,20.5
22-08-2010,38.3,22.5
23-08-2010,39.2,22.2
24-08-2010,32,23
26-08-2010,42.8,23
27-08-2010,35,22
06-09-2010,33.6,20.5
21-06-2011,35.6,20.5
26-06-2011,39,21.6
27-06-2011,38.5,22
10-07-2011,33,21.4
02-08-2011,33,21.2
03-08-2011,32.9,21.1
04-08-2011,36,20.4
05-08-2011,34,22
06-08-2011,35.6,20.2
13-08-2011,35.3,21
14-08-2011,34.3,20.9
15-08-2011,34.5,21
16-08-2011,36.2,20.6
17-08-2011,38.1,21.8
18-08-2011,34.4,20.6
19-08-2011,38,20.6
20-08-2011,41.1,22.4
21-08-2011,39.4,21.5
22-08-2011,37.4,22.8
23-08-2011,35.2,22.6
24-08-2011,34,21
31-08-2011,32.2,20.2
01-09-2011,33.6,21.3
10-09-2011,36.3,20.1
24-06-2012,35.4,20
26-06-2012,38.8,21
27-06-2012,37.6,22
28-06-2012,40.7,20.7
18-07-2012,39.1,20
26-07-2012,37,22.8
27-07-2012,32.1,20.1
31-07-2012,36.6,21
09-08-2012,39.3,20
10-08-2012,41.4,22.5
11-08-2012,41.3,21.9
12-08-2012,32,20.5
14-08-2012,36.5,21.5
15-08-2012,33.1,21.1
17-08-2012,38.6,21.4
18-08-2012,40,23.5
19-08-2012,36.6,24.5
20-08-2012,40.1,23.5
21-08-2012,40.5,22.5
22-08-2012,36.2,21.6
23-08-2012,37.6,21.2
28-08-2012,35,21.4
29-08-2012,34.7,21.5
03-07-2013,31.6,20.3
06-07-2013,36.5,20.4
07-07-2013,35.8,21.5
08-07-2013,35.5,21.1
09-07-2013,35.5,21.4
12-07-2013,35.5,20.6
18-07-2013,32.8,20.4
19-07-2013,33.5,20.3
20-07-2013,33.8,21.5
23-07-2013,35.2,20.9
24-07-2013,35.0,20.0
25-07-2013,37.7,22.5
26-07-2013,37.5,21.4
27-07-2013,36.3,22.5
28-07-2013,31.0,20.8
01-08-2013,37.8,21.6
02-08-2013,36.9,21.6
03-08-2013,34.3,20.8
04-08-2013,34.2,21.0
05-08-2013,37.5,21.2
06-08-2013,34.0,20.2
12-08-2013,34.6,20.7
16-08-2013,31.9,20.6
19-08-2013,32.4,20.6
22-08-2013,34.2,20.2
