fecha,dias
1951,19
1952,34
1953,44
1954,37
1955,33
1956,43
1957,34
1958,18
1959,17
1960,14
1961,18
1962,33
1963,48
1964,45
1965,28
1966,17
1967,33
1968,16
1969,34
1970,26
1971,33
1972,21
1973,35
1974,24
1975,21
1976,28
1977,08
1978,16
1979,26
1980,24
1981,24
1982,01
1983,38
1984,12
1985,40
1986,08
1987,18
1988,20
1989,18
1990,25
1991,25
1992,29
1993,22
1994,11
1995,16
1996,12
1997,08
1998,26
1999,28
2000,23
2001,22
2002,05
2003,20
2004,12
2005,47
2006,28
2007,19
2008,15
2009,17
2010,32
2011,16
2012,23
2013,25
2014,01
2015,12
2016,03
2017,10
