fecha,dias
1951,03
1952,04
1953,04
1954,05
1955,07
1956,00
1957,07
1958,08
1959,01
1960,03
1961,03
1962,02
1963,02
1964,04
1965,09
1966,06
1967,05
1968,01
1969,01
1970,01
1971,00
1972,03
1973,01
1974,01
1975,01
1976,02
1977,04
1978,04
1979,01
1980,03
1981,06
1982,04
1983,06
1984,03
1985,08
1986,01
1987,16
1988,03
1989,07
1990,07
1991,08
1992,11
1993,01
1994,11
1995,14
1996,03
1997,03
1998,03
1999,04
2000,01
2001,07
2002,06
2003,08
2004,03
2005,08
2006,09
2007,02
2008,03
2009,11
2010,09
2011,12
2012,27
2013,08
2014,17
2015,11
2016,12
2017,13
2018,02
