fecha,tmax,tmin
2018-09-01,32,18.6
2018-09-02,33.2,18.5
2018-09-03,31.4,19.5
2018-09-04,30.5,18.1
2018-09-05,30.1,18.9
2018-09-06,28.1,17.9
2018-09-07,28.2,16.8
2018-09-08,29.6,17.1
2018-09-09,29.5,19.4
2018-09-10,29.4,19.1
2018-09-11,26.9,18.9
2018-09-12,27.7,18.9
2018-09-13,29.3,19.1
2018-09-14,30,17
2018-09-15,28.4,17.4
2018-09-16,31.7,15.9
2018-09-17,31.1,18.4
2018-09-18,33.1,18.5
2018-09-19,32,18.1
2018-09-20,32.8,18.2
2018-09-21,31.5,19.1
2018-09-22,31.3,18.3
2018-09-23,34.3,18.9
2018-09-24,25.2,14.9
2018-09-25,23.5,12.1
2018-09-26,27,16.3
2018-09-27,28.8,15.2
2018-09-28,29.2,15
2018-09-29,28.9,17.4
2018-09-30,27.3,15.1
